,Comment.1,AustralianSuperMainFund,polarity,subjectivity
165,Never really liked super,3.0,0.02,0.73
166,Had negative earnings in the past,8.0,-0.28,0.33
167,Happy with the performance of the fund and also with the level of service so far,8.0,0.45,1.0
168,Better fees and stronger investment perfermance as compared to my old fund,8.0,0.3,0.35
169,Seems to give you value for money,8.0,0.0,0.0
170,I'm happy with the performance and that the fees are low.,10.0,0.4,0.65
171,Good super fund (Industry Super),8.0,0.46,0.64
172,I find the customer service on the phone very friendly and helpful.,10.0,0.49,0.65
173,since belonging to Australian Super I've had a sense of security with my super and see the real value in belonging to the fund.,10.0,0.22,0.41
174,On the whole I'm happy with Australian Super. I would have given a higher rating except that I regard the fees and charges as being higher than they should be.,8.0,0.31,0.51
175,As super os simply npt a topic of conversation,0.0,0.17,0.51
176,"Good website, good returns, low fees.",9.0,0.47,0.5
177,Cost effective simple and portable,8.0,0.3,0.58
178,Probably don't know enough about Super funds to say either way,5.0,0.17,0.58
179,"I enjoy the benefits, updated and the policies in place to keeping my account safe and secure.",6.0,0.43,0.53
180,strong fund reliable service,10.0,0.43,0.73
181,"Been a member fora while and had no problems,mind you i have only had money going in",9.0,0.0,1.0
183,I feel safe with Aust Super and the Account Manager is easy to log into and read.,10.0,0.42,0.67
184,Seems like a good product with decent returns,10.0,0.43,0.63
185,Because of the name,8.0,0.0,0.0
186,its Australia's biggest super fund.,9.0,0.33,0.67
187,I don't discuss these things with family and friends,0.0,0.0,0.0
188,No hazzle,8.0,0.0,0.0
189,neither good nor bad - same as the rest ?,5.0,0.0,0.46
190,From me experience fair return for my investment,8.0,0.7,0.9
191,Industry super fund,8.0,0.33,0.67
192,It's their choice,0.0,0.0,0.0
193,No problems,8.0,0.0,0.0
194,reliable,10.0,0.0,0.0
195,Always been very helpful,6.0,0.2,0.3
196,good returns,9.0,0.7,0.6
197,They are a good fund and seem well balanced with fees and etc. Plus I am with them and have had no issues,8.0,0.7,0.6
198,appears to do quite well,10.0,0.0,0.0
199,My dealings with Aust Super has been excellent over a long period of time.,9.0,0.43,0.69
200,I feel I'm in the loop about what's going on and the returns are what I expect.,9.0,0.0,0.0
201,Excellent Return to investment,10.0,1.0,1.0
202,Easy to manage and hassle free,10.0,0.42,0.82
203,Good service,9.0,0.7,0.6
204,Very satisfied with performance over long term,10.0,0.3,0.7
205,I am happy with what Australian Super has to offer.,10.0,0.38,0.56
206,Satisfied with service / performance,8.0,0.5,1.0
207,Satisfies my expectations,6.0,0.0,0.0
208,Quite indifferent,5.0,0.0,0.0
209,",",5.0,0.0,0.0
210,No reason,8.0,0.0,0.0
211,Haven't had to complain about anything,9.0,0.0,0.0
212,Cause I could,8.0,0.0,0.0
213,only been a member a short time,8.0,0.0,0.65
214,I used to be able to manage my portfolio and since you changed your loggins and templates it is very confusing and frankly I have lost alot of money because I can't manage my share portfolio. Extremely poor user friendly system.,1.0,0.02,0.56
215,Because the account updating has been great.,10.0,0.8,0.75
216,"fees are minimal, good investment return, Australian owned",8.0,0.2,0.4
217,Our work colleagues do not discuss superannuation in general conversation.,0.0,0.05,0.5
218,Very efficient.,10.0,0.2,0.3
219,Excellent Returns,10.0,1.0,1.0
220,Why not,8.0,0.0,0.0
221,Good results and easy access to funds,9.0,0.57,0.72
222,"Good returns, easy to deal with.",10.0,0.57,0.72
223,"Only being a member for 5 months and needed an account to transfer other super funds into, hence have not used full potential of account.",6.0,0.11,0.72
225,Ok,9.0,0.5,0.5
226,I'm happy,7.0,0.8,1.0
228,Because you s make so difficult for me to combine my super together which is in the same fund,4.0,-0.06,0.6
229,"No problems, pretty good performance",9.0,0.47,0.8
230,The fund seems to be doing quite well in comparison to others.,10.0,0.0,0.0
231,"Low fees, industry fund, good returns, affiliated with our mortgage provider.",10.0,0.35,0.45
232,Great service,10.0,0.8,0.75
234,Good reliable returns,9.0,0.7,0.6
235,good and reliable super,8.0,0.52,0.63
236,everyone has their own super usually associated with their choice of employment,5.0,0.23,0.64
237,great returns,8.0,0.8,0.75
239,Easy access,8.0,0.43,0.83
240,Communication and accessibility to information,8.0,0.0,0.0
241,Good communication and when I've contacted it's been very satisfactory,8.0,0.45,0.45
242,I wasn't alerted to the fact my super hadn't been paid into my fund for an 8 month period.,8.0,0.33,0.67
243,Because they are easy to deal with,10.0,0.43,0.83
244,Good performance,9.0,0.7,0.6
246,Happy with everything,10.0,0.8,1.0
247,I AM EARNING GOOD INVESTMENT.,10.0,0.7,0.6
249,Never had any issues,5.0,0.0,0.0
250,"I believe better opportunities, and outcomes are available with self managed funds. Super schemes are designed to benefit those employed in the industry.",5.0,0.41,0.52
251,Security,9.0,0.0,0.0
252,I am neutral on superannuation,5.0,0.0,0.0
253,"Large, well-run fund with some investment choice and reasonable costs. Admin and website still a bit ordinary.",8.0,0.05,0.51
254,Low fees,8.0,0.0,0.3
255,"All around a great super fund, online system allows easy monitoring and has good functionality.",9.0,0.57,0.71
256,I don't know enough about Super to make recommendations,6.0,0.17,0.58
258,Good returns and easy to deal with.,9.0,0.57,0.72
259,"at the time of joining i thought it was value for money, easy, friendly",9.0,0.4,0.67
260,Consistent and good performer.,10.0,0.47,0.43
262,Low fees,10.0,0.0,0.3
263,An industry fund with a good track record and performance,8.0,0.7,0.6
264,been in this super for a long time,7.0,0.14,0.53
265,Disgusting service,0.0,-1.0,1.0
266,works well for myself,10.0,0.0,0.0
267,They are good enough for the job. I have had no issue's with them.,7.0,0.35,0.55
268,Good service and easy to understand,10.0,0.57,0.72
269,Lower fees reasonable returns,8.0,0.2,0.6
270,performing,9.0,0.0,0.0
271,I don't talk much about super with my friends,4.0,0.27,0.43
272,Consistently has a return,7.0,0.25,0.25
273,The best,10.0,1.0,0.3
274,I as an employer also have to be involved with other funds. But this is the only fund that keeps me up to date with payments made. and are always on time with statements. The only thing I would say is that I would like to see contact made to new members on the best fund for them. ex balanced etc.,8.0,0.2,0.63
275,overall experience,10.0,0.0,0.0
277,no particular reason,7.0,-0.08,0.33
278,It is not to expertise or position to advice,0.0,0.0,0.0
279,I'd mention that I was in this fund but I admit I had it recommended to me because I needed something quickly,5.0,0.33,0.5
280,Lower fees than previous provider,9.0,-0.17,0.17
281,I am happy with the way the fund works,9.0,0.8,1.0
282,n/a,10.0,0.0,0.0
283,Top job,10.0,0.5,0.5
284,A good fund,9.0,0.7,0.6
285,They ripped me off and were mean and didnt trust me and made it seem like I was lying when I wasn't.,0.0,-0.31,0.69
286,Hard to get in contact with,6.0,-0.29,0.54
287,HAPPY WITH THE SERVICE,8.0,0.8,1.0
289,"I have been generally happy with the results and service of Aus Super, but have not had regular dealings, so am not sure how this relationship will continue in the future when I wish to access my superannuation",8.0,0.18,0.55
290,Just because,8.0,0.0,0.0
291,Because it's a Industry fund,10.0,0.0,0.0
292,Returns are reasonable/acceptable.,5.0,0.0,0.0
293,GOOD RETURNS AND LOW FEES,8.0,0.35,0.45
294,because many super companies,5.0,0.42,0.58
296,Seems ok,7.0,0.5,0.5
297,I have always had good customer service form Aust super,8.0,0.52,0.63
298,Good returns and ease of use,10.0,0.7,0.6
299,"Low fees, industry superfund, good returns on investment",9.0,0.35,0.45
300,no issues,7.0,0.0,0.0
301,Seems to work ok,5.0,0.5,0.5
302,you dont employ english speaking and understanding staff,0.0,0.0,0.0
303,So far I've had a good experience.,10.0,0.4,0.8
304,Seem to be doing ok forme,10.0,0.5,0.5
305,I had a good experience with the customer service - friendly and well informed.,8.0,0.54,0.55
306,I do not have many information or refferences about it,7.0,0.5,0.5
307,"communication is good, app is easy to use.",7.0,0.57,0.72
309,Has had great growth in the short time I have had it,10.0,0.4,0.53
310,think they are ok but can see the government stealing my super when kept in a mass fund as opposed to a self managed fund,7.0,0.42,0.58
311,Have been involved with Australian Super since 1990 and always have had good returns - Newsletters informative for Employers and Employees have always received regular 6 monthly statements,10.0,0.26,0.34
312,It is one of the largest funds in the country and has consistently outperformed most other funds. My sole problem is the difficulty getting my 2 Aust Super accounts merged - otherwise I would have rated it as a 10,8.0,0.19,0.41
313,good returns,8.0,0.7,0.6
315,Don't use super account enough to make a judgement about it's pros and cons.,5.0,0.17,0.58
316,A good super fund that is working well for me,10.0,0.52,0.63
317,Taxation gave me a $700 plus to go into my super when I turned 50. I rang my super a spoke to a women to transfer it but it never went in. It is still with the taxation office. not happy. this was 3 years ago. I gave up.,4.0,0.09,0.78
318,OK,7.0,0.5,0.5
319,satisfaction,9.0,0.0,0.0
320,No issues so consider fund quite reasonable.,7.0,0.2,0.6
321,ITS THE ONLY ONE I KNOW AND UNTIL I RETIRE WHICH WILL BE NEXT YEAR I'M NOT SURE IF YOU HAVE DONE RIGHT BY ME,7.0,0.01,0.61
322,Excellent services and reliable a,10.0,1.0,1.0
324,Very happy,8.0,1.0,1.0
325,good returns good service,7.0,0.7,0.6
326,Good return on investments and good feedback and advice,9.0,0.7,0.6
327,Because Australian super is very well nowen service by customer like I am and I will definitely recommend to any one to bring their super with Australian super because it's safe and well protacted thanks,10.0,0.21,0.39
328,Great service and no fuss.,10.0,0.8,0.75
329,Good service and easy to deal with,8.0,0.57,0.72
330,"generally good rates, fees and intentions. would prefer more investment in reducing global warming projects such as solar power, not supporting any company which uses palm oil etc etc",5.0,0.21,0.37
331,They have a good return,10.0,0.7,0.6
332,I belive the fund achieves high returns and trust that admin costs are relatively modest.,10.0,0.13,0.72
333,based on stable performance,8.0,0.0,0.0
334,Good super,5.0,0.52,0.63
335,Low fees great fund,8.0,0.4,0.53
336,have had no problems,8.0,0.0,0.0
337,Performance ok,6.0,0.5,0.5
338,I get follow ups from other companies and they offer assistance to roll over my funds to them. Have never received a call from Australian super in my whole time I have been with them.,4.0,0.1,0.36
339,Happy with service and performance,9.0,0.8,1.0
340,good results,8.0,0.7,0.6
341,Happy with response and customer service.,6.0,0.8,1.0
342,"Good products, low fees",8.0,0.35,0.45
344,Well managed and good returns,9.0,0.7,0.6
345,I dont really understand how its work and where the shares going..,5.0,0.2,0.2
346,"Industry fund, Well managed fund, easy to use via website; if have to phone up wait times not too long and staff mostly helpful. Easy to choose investment options, reports in a good format. Don't waste as much money as retail funds",8.0,0.29,0.48
347,good growth,10.0,0.7,0.6
349,"AustralianSuper is neglecting the needs of members with pension balances in excess of 1.6 million. 2 obvious shortcomings: Firstly not having a specialist group that contacts and helps members with the transition of funds from pension to super or elsewhere. Not from a financial advice perspective but from a process, timing and implementation perspective. This group would be disbanded in about 6 months. Secondly not understanding that with the new legislation super accounts (not pension accounts) will be the main withdrawl method for living expenses. Withdrawal processes in super need to be updated for regular payments etc. Currently there is only a costly lump sum withdrawal process. This is surprising as many of your competitors are using this as a marketing tool.",3.0,0.17,0.44
351,FEES ISSUES,10.0,0.0,0.0
352,It's the best,9.0,1.0,0.3
353,has always given good results,9.0,0.7,0.6
354,Great reporting. Easy to log-in. Happy with performance of investment. Plenty of choice with insurance.,9.0,0.68,0.86
355,nether here nor there,5.0,0.0,0.0
356,Just another super fund,5.0,0.33,0.67
357,I don't really care by the time I'm old the super eligibility age will be bloody 10 years after death (for >90 year olds only),9.0,-0.03,0.59
358,Simple. Great customer service when needed. Good rates,7.0,0.5,0.57
359,its the only one i know,5.0,0.0,1.0
360,I am happy with my super balance and the way staff at Australian Super have helped me when I have needed to contact Australian Super with queries.,10.0,0.3,0.5
361,Industry fund. lower fees,6.0,0.0,0.0
362,I'm satisfied with my increases every year,8.0,0.5,1.0
363,Very helpful,7.0,0.2,0.3
364,Lower on-going costs,10.0,0.0,0.0
365,"Safe, growing, reliable and focused on returning the maximum to its members.",10.0,0.5,0.5
366,"It is decide by the company that I work, no reason to change it since it is one of the best",0.0,1.0,0.3
367,Best,10.0,1.0,0.3
368,I have recently changed over to Aust Super and it has been a relatively easy process.,7.0,0.26,0.58
369,"The communication is great, I've had no issues",9.0,0.8,0.75
370,Excellent,10.0,1.0,1.0
371,I'm neither especially enamoured nor antagonist towards Oz Super.,4.0,0.17,0.83
372,Low cost / secure / no hassles / good communication to customers / good returns,10.0,0.45,0.53
373,respose time poor at time,8.0,-0.4,0.6
374,Because you tax my fund to much and you do not make me enough in return,0.0,0.1,0.35
375,k.,6.0,0.0,0.0
376,well helped me in hardship,10.0,0.0,0.0
377,fee's $$$,1.0,0.0,0.0
378,nice mobile app,8.0,0.6,1.0
379,It's a supper fund,5.0,0.0,0.0
380,I would not recommend this funds to my friends or family because: 1- I don't see any value for my money in this fund 2- Lack of communication advising members about the recent changes in Super Industry I have been with this fund for more than 6 years and I have never got a call from anyone in AustralianSuper explaining the investment options they have. I came to know about the insurance I have by accident when I logged in two years ago. Just the communication part is poor.,0.0,0.11,0.5
381,Love the returns and I feel safe knowing my super is with you guys,10.0,0.44,0.59
383,"I don't really know too much on the other supers, AustralianSuper seem to be very good and proactive investors.",7.0,0.3,0.39
384,I don't often give financial recommendations.,4.0,0.0,0.0
385,"You make it easy. Quicksuper is easy and quick to use, when I set up my own personal fund it was all online and easy You don't charge a lot in fees. Some of the funds are really cluncky and then they want an email confirming the contributons made. You website and quicksuper are great.",9.0,0.4,0.66
387,As only new to the fund,7.0,0.07,0.73
388,very reliable and one of the major players. Low fees and great service!,9.0,0.32,0.46
389,I do not discuss super with anyone.,0.0,0.33,0.67
390,"Australian Super is one of the more user friendly funds, clarity in the product is there.",8.0,0.3,0.42
391,Great returns and easy to deal with.,10.0,0.62,0.79
392,Trustworthy,10.0,0.0,0.0
393,It is an industry fund that has consistently outperformed the commercial funds.,8.0,0.12,0.12
394,Because l can see they invesment the money and get good results.,9.0,0.7,0.6
395,GooD,7.0,0.7,0.6
396,"Australian Super have been great, with their investments, customer support and informative website",9.0,0.38,0.47
397,Cccçccccc,9.0,0.0,0.0
399,Because i cant access that money even when its my own hard working dollars,3.0,0.15,0.77
400,Good service and good returns,10.0,0.7,0.6
402,"News letters , keeping me informed how my super is going",10.0,0.33,0.67
403,"Australian, Industry, not for profit. Web site easy to navigate and staff are knowledgeable and helpful.",10.0,0.22,0.42
404,Low fees and pretty good investment returns,7.0,0.32,0.63
405,Have actually just recommended someone recently..I am very happy with the Fund,10.0,0.5,0.55
406,Good investments have seen my super balance grow at a good rate. Also competitive pricing on accompanying accident and life insurance policy.,8.0,0.58,0.62
407,"Australian Super has had good performance over the years, even through the GFC",9.0,0.34,0.42
409,Has met all my requirements,7.0,0.0,0.0
410,"Neutral answer. I wouldn't go out of my way to encourage or discourage. I would suggest they do the research, however I would say that I've never had an issue .",5.0,0.0,0.0
411,Good,10.0,0.7,0.6
412,Good return and good insurance/TPD,10.0,0.7,0.6
413,I get information regularly. The interest I get seems to be good.,8.0,0.35,0.34
414,"I can only compare with the one non-industry fund I had prior, and I lost so much super to fees it was ridiculous. No complaints about Australian Super, but I can't really say I know enough about it or other super to recommend anything.",6.0,0.07,0.51
415,AS doesn't have a good performance on the return as expected.,3.0,0.3,0.5
416,"Low fees, reasonable returns, good features, simple web administration",9.0,0.22,0.46
417,"Staff not consistent, and I received different advise & answers by different staff and on different days.info was sometimes polar to what I had been told beforehsnd",5.0,-0.04,0.46
418,Sound returns over the long term,10.0,0.18,0.4
419,Good solid Fund,8.0,0.35,0.35
420,Everyone has their own preference of super annuation companies,0.0,0.47,0.83
421,"No particular reason,",6.0,-0.08,0.33
422,They keep you informed with any changes,10.0,0.0,0.0
423,"No definite reason. It appears to be as good as most, and fits our profile of conservative superannuants.",5.0,0.4,0.53
424,Always helpful and pleasant to deal with,10.0,0.73,0.97
425,Always received good service and the website information is well structured and informative.,9.0,0.7,0.6
426,An industry related super easily managed,7.0,0.26,0.63
427,I am extremely satisfied with the performance of my Super fund as well as the service provided by AustralianSuper.,10.0,0.42,0.83
428,its fine,7.0,0.42,0.5
429,Great super,10.0,0.57,0.71
430,"industry super, and doing well.",7.0,0.33,0.67
431,"I don't expect much from my super, but I'm content with my current fund",7.0,0.18,0.42
432,Seems okay,5.0,0.5,0.5
433,Always helpfully and easy to navigate online,6.0,0.43,0.83
434,"No fuss, good reporting, moderate fees, OK returns",6.0,0.4,0.6
435,All good,10.0,0.7,0.6
436,The fund appears to be doing ok. Fairly neutral as I don't think there is anything outstanding about the fund nor is there anything bad about it.,5.0,0.25,0.74
437,Happy with returns,9.0,0.8,1.0
438,Because you guys are the best around,10.0,1.0,0.3
439,Great returns; relatively low fees,8.0,0.4,0.53
440,The returns have been quite good,7.0,0.7,0.6
441,I like the low admin fees. I like to know what I'm depositing works for me not for someone else's benefit.,8.0,0.0,0.3
442,"I have had good returns, they are easy to deal with and has minimal fees",9.0,0.34,0.68
443,This is the only one i have dealt with,10.0,0.0,1.0
445,"I am pleased with the super fund because the fees have not been too high. Easy access on the website to view fund, also the financial advisors in the media have given the Australian super good feedback and rate well against other funds.",9.0,0.26,0.52
446,consistently good returns,10.0,0.7,0.6
447,good returns and easly to look up your account,10.0,0.7,0.6
448,Appears to perform ok,8.0,0.5,0.5
449,I haven't had any problems with this super account.,7.0,0.33,0.67
450,seem to be consistent with returns per year,5.0,0.25,0.25
451,not enough knowledge of differences,5.0,0.0,0.5
452,"Little to no communication, Forced into unwanted insurance products that hold no value. No extra benefits of being a member",0.0,-0.16,0.27
453,Because I am always kept up to date,10.0,0.0,0.0
454,None of your business.,5.0,0.0,0.0
455,They can choose,0.0,0.0,0.0
456,no real reason,6.0,-0.1,0.3
457,Happy with Australia super,8.0,0.57,0.83
458,Good consistent performance,9.0,0.47,0.43
459,"Good returns, good reputation",9.0,0.7,0.6
460,I have had no trouble,10.0,0.1,0.2
461,Went to a Australian Super retirement planning seminar left my name to see an advisor and nothing further happened. Not happy want to leave.,2.0,-0.01,0.43
463,A very good super fund,8.0,0.62,0.72
464,Why not,5.0,0.0,0.0
465,.,5.0,0.0,0.0
466,Low returns,6.0,0.0,0.3
467,Good returns,10.0,0.7,0.6
468,cause good,10.0,0.7,0.6
469,Good service.,10.0,0.7,0.6
470,Not the worst one out there,6.0,-1.0,1.0
